25835,1987062
60932,1987062
61509,1987062
61510,1987062
61511,1987062
61514,1987062
62106,1987062
62108,1987062
65742,1987062
65743,1987062
65744,1987062
65745,1987062
65746,1987062
65747,1987062
65749,1987062
65750,1987062
66175,1987062
82362,1987062
82363,1987062
95737,1987062
95929,1987062
96084,1987062
96142,1987062
96143,1987062
96144,1987062
96145,1987062
96147,1987062
96149,1987062
96150,1987062
96151,1987062
96956,1987062
97705,1987062
102789,1987062
102790,1987062
102791,1987062
102794,1987062
102795,1987062
102796,1987062
102797,1987062
102799,1987062
102801,1987062
102802,1987062
102804,1987062
102806,1987062
102808,1987062
102809,1987062
102810,1987062
102811,1987062
102812,1987062
102813,1987062
102814,1987062
102831,1987062
102832,1987062
102833,1987062
102881,1987062
102883,1987062
102897,1987062
102907,1987062
102915,1987062
102916,1987062
102917,1987062
102919,1987062
102920,1987062
102925,1987062
102926,1987062
102975,1987062
102978,1987062
102990,1987062
102991,1987062
102992,1987062
103006,1987062
103007,1987062
103008,1987062
103031,1987062
